"Source:","/Users/chrisarcadia/Dropbox (Brown)/Ventilator/repositories/pufferfish-electronics/designs/Pufferfish-Controller-1/Pufferfish-Controller-1.sch"
"Date:","Thursday, July 02, 2020 at 11:10:22 AM"
"Tool:","Eeschema (5.1.5-0-10_14)"
"Component Count:","559"
"Ref","Value","Part","Footprint","Description","Vendor","Manufacturer","Datasheet","Tolerance","Resistance","Capacitance","Pressure"
"CONN4","B4B-PH-SM4-TB(LF)(SN)","Pufferfish:B4B-PH-SM4-TB(LF)(SN)","Pufferfish:JST_B4B-PH-SM4-TB","Connector Header Surface Mount 4 position 0.079"" (2.00mm)","","JST Sales America Inc.","JST","","","",""
"CONN5","B2B-PH-SM4-TB(LF)(SN)","Pufferfish:B2B-PH-SM4-TB(LF)(SN)","Pufferfish:JST_B2B-PH-SM4-TB","Connector Header Surface Mount 2 position 0.079"" (2.00mm)","","JST Sales America Inc.","http://www.jst-mfg.com/product/pdf/eng/ePH.pdf","","","",""
"CONN6","B2B-PH-SM4-TB(LF)(SN)","Pufferfish:B2B-PH-SM4-TB(LF)(SN)","Pufferfish:JST_B2B-PH-SM4-TB","Connector Header Surface Mount 2 position 0.079"" (2.00mm)","","JST Sales America Inc.","http://www.jst-mfg.com/product/pdf/eng/ePH.pdf","","","",""
"CONN7","B2B-PH-SM4-TB(LF)(SN)","Pufferfish:B2B-PH-SM4-TB(LF)(SN)","Pufferfish:JST_B2B-PH-SM4-TB","Connector Header Surface Mount 2 position 0.079"" (2.00mm)","","JST Sales America Inc.","http://www.jst-mfg.com/product/pdf/eng/ePH.pdf","","","",""
"CONN8","B2B-PH-SM4-TB(LF)(SN)","Pufferfish:B2B-PH-SM4-TB(LF)(SN)","Pufferfish:JST_B2B-PH-SM4-TB","Connector Header Surface Mount 2 position 0.079"" (2.00mm)","","JST Sales America Inc.","http://www.jst-mfg.com/product/pdf/eng/ePH.pdf","","","",""
"CONN9","B2B-PH-SM4-TB(LF)(SN)","Pufferfish:B2B-PH-SM4-TB(LF)(SN)","Pufferfish:JST_B2B-PH-SM4-TB","Connector Header Surface Mount 2 position 0.079"" (2.00mm)","","JST Sales America Inc.","http://www.jst-mfg.com/product/pdf/eng/ePH.pdf","","","",""
"CONN10","B2B-PH-SM4-TB(LF)(SN)","Pufferfish:B2B-PH-SM4-TB(LF)(SN)","Pufferfish:JST_B2B-PH-SM4-TB","Connector Header Surface Mount 2 position 0.079"" (2.00mm)","","JST Sales America Inc.","http://www.jst-mfg.com/product/pdf/eng/ePH.pdf","","","",""
"CONN11","B2B-PH-SM4-TB(LF)(SN)","Pufferfish:B2B-PH-SM4-TB(LF)(SN)","Pufferfish:JST_B2B-PH-SM4-TB","Connector Header Surface Mount 2 position 0.079"" (2.00mm)","","JST Sales America Inc.","http://www.jst-mfg.com/product/pdf/eng/ePH.pdf","","","",""
"CONN12","B2B-PH-SM4-TB(LF)(SN)","Pufferfish:B2B-PH-SM4-TB(LF)(SN)","Pufferfish:JST_B2B-PH-SM4-TB","Connector Header Surface Mount 2 position 0.079"" (2.00mm)","","JST Sales America Inc.","http://www.jst-mfg.com/product/pdf/eng/ePH.pdf","","","",""
"CONN13","B2B-PH-SM4-TB(LF)(SN)","Pufferfish:B2B-PH-SM4-TB(LF)(SN)","Pufferfish:JST_B2B-PH-SM4-TB","Connector Header Surface Mount 2 position 0.079"" (2.00mm)","","JST Sales America Inc.","http://www.jst-mfg.com/product/pdf/eng/ePH.pdf","","","",""
"CONN14","B2B-PH-SM4-TB(LF)(SN)","Pufferfish:B2B-PH-SM4-TB(LF)(SN)","Pufferfish:JST_B2B-PH-SM4-TB","Connector Header Surface Mount 2 position 0.079"" (2.00mm)","","JST Sales America Inc.","http://www.jst-mfg.com/product/pdf/eng/ePH.pdf","","","",""
"CONN15","B2B-PH-SM4-TB(LF)(SN)","Pufferfish:B2B-PH-SM4-TB(LF)(SN)","Pufferfish:JST_B2B-PH-SM4-TB","Connector Header Surface Mount 2 position 0.079"" (2.00mm)","","JST Sales America Inc.","http://www.jst-mfg.com/product/pdf/eng/ePH.pdf","","","",""
"CONN16","B2B-PH-SM4-TB(LF)(SN)","Pufferfish:B2B-PH-SM4-TB(LF)(SN)","Pufferfish:JST_B2B-PH-SM4-TB","Connector Header Surface Mount 2 position 0.079"" (2.00mm)","","JST Sales America Inc.","http://www.jst-mfg.com/product/pdf/eng/ePH.pdf","","","",""
"CONN17","B2B-PH-SM4-TB(LF)(SN)","Pufferfish:B2B-PH-SM4-TB(LF)(SN)","Pufferfish:JST_B2B-PH-SM4-TB","Connector Header Surface Mount 2 position 0.079"" (2.00mm)","","JST Sales America Inc.","http://www.jst-mfg.com/product/pdf/eng/ePH.pdf","","","",""
"CONN18","B2B-PH-SM4-TB(LF)(SN)","Pufferfish:B2B-PH-SM4-TB(LF)(SN)","Pufferfish:JST_B2B-PH-SM4-TB","Connector Header Surface Mount 2 position 0.079"" (2.00mm)","","JST Sales America Inc.","http://www.jst-mfg.com/product/pdf/eng/ePH.pdf","","","",""
"CONN19","B4B-PH-SM4-TB(LF)(SN)","Pufferfish:B4B-PH-SM4-TB(LF)(SN)","Pufferfish:JST_B4B-PH-SM4-TB","Connector Header Surface Mount 4 position 0.079"" (2.00mm)","","JST Sales America Inc.","JST","","","",""
"CONN20","B4B-PH-SM4-TB(LF)(SN)","Pufferfish:B4B-PH-SM4-TB(LF)(SN)","Pufferfish:JST_B4B-PH-SM4-TB","Connector Header Surface Mount 4 position 0.079"" (2.00mm)","","JST Sales America Inc.","JST","","","",""
"CONN21","B4B-PH-SM4-TB(LF)(SN)","Pufferfish:B4B-PH-SM4-TB(LF)(SN)","Pufferfish:JST_B4B-PH-SM4-TB","Connector Header Surface Mount 4 position 0.079"" (2.00mm)","","JST Sales America Inc.","JST","","","",""
"CONN22","B4B-PH-SM4-TB(LF)(SN)","Pufferfish:B4B-PH-SM4-TB(LF)(SN)","Pufferfish:JST_B4B-PH-SM4-TB","Connector Header Surface Mount 4 position 0.079"" (2.00mm)","","JST Sales America Inc.","JST","","","",""
"CONN23","5103308-3","Pufferfish:5103308-3","Pufferfish:SHDR16W66P254_2X8","Headers & Wire Housings 16P 2 ROW HEADER LP","","","http://componentsearchengine.com/Datasheets/1/5103308-3.pdf","","","",""
"CONN24","5103308-3","Pufferfish:5103308-3","Pufferfish:SHDR16W66P254_2X8","Headers & Wire Housings 16P 2 ROW HEADER LP","","","http://componentsearchengine.com/Datasheets/1/5103308-3.pdf","","","",""
"D1","LED_SMD_0805","Pufferfish:LED_SMD_0805","Pufferfish:LED_SMD_0805","Light emitting diode, filled shape, SMT, SMD","","","~","","","",""
"D2","LED_SMD_0805","Pufferfish:LED_SMD_0805","Pufferfish:LED_SMD_0805","Light emitting diode, filled shape, SMT, SMD","","","~","","","",""
"D3","LED_SMD_0805","Pufferfish:LED_SMD_0805","Pufferfish:LED_SMD_0805","Light emitting diode, filled shape, SMT, SMD","","","~","","","",""
"DRIVE1","TPL7407LADR","Pufferfish:TPL7407LADR","Pufferfish:SOIC127P600X175-16N","Gate Drivers 30-V, 7-Channel NMOS Array Low-Side Driver 16-SOIC -40 to 125","","","http://www.ti.com/lit/gpn/tpl7407la","","","",""
"DRIVE2","TPL7407LADR","Pufferfish:TPL7407LADR","Pufferfish:SOIC127P600X175-16N","Gate Drivers 30-V, 7-Channel NMOS Array Low-Side Driver 16-SOIC -40 to 125","","","http://www.ti.com/lit/gpn/tpl7407la","","","",""
"DRIVE3","TMC2209-SilentStepStick","Pufferfish:TMC2209-SilentStepStick","Pufferfish:MODULE_TMC2209_SilentStepStick","Stepper motor controller & driver","","Trinamic Motion Control ","https://www.trinamic.com/fileadmin/assets/Products/Eval_Documents/TMC2209_SilentStepStick_Rev1.10.pdf","","","",""
"DRIVE4","TMC2209-SilentStepStick","Pufferfish:TMC2209-SilentStepStick","Pufferfish:MODULE_TMC2209_SilentStepStick","Stepper motor controller & driver","","Trinamic Motion Control ","https://www.trinamic.com/fileadmin/assets/Products/Eval_Documents/TMC2209_SilentStepStick_Rev1.10.pdf","","","",""
"DRIVE5","TMC2209-SilentStepStick","Pufferfish:TMC2209-SilentStepStick","Pufferfish:MODULE_TMC2209_SilentStepStick","Stepper motor controller & driver","","Trinamic Motion Control ","https://www.trinamic.com/fileadmin/assets/Products/Eval_Documents/TMC2209_SilentStepStick_Rev1.10.pdf","","","",""
"DRIVE6","TMC2209-SilentStepStick","Pufferfish:TMC2209-SilentStepStick","Pufferfish:MODULE_TMC2209_SilentStepStick","Stepper motor controller & driver","","Trinamic Motion Control ","https://www.trinamic.com/fileadmin/assets/Products/Eval_Documents/TMC2209_SilentStepStick_Rev1.10.pdf","","","",""
"H1","STANDOFF_ELECTRICAL","Pufferfish:STANDOFF_ELECTRICAL","Pufferfish:STANDOFF-ELECTRICAL-NOTHERMALS","","","","","","","",""
"H2","STANDOFF_ELECTRICAL","Pufferfish:STANDOFF_ELECTRICAL","Pufferfish:STANDOFF-ELECTRICAL-NOTHERMALS","","","","","","","",""
"H3","STANDOFF_ELECTRICAL","Pufferfish:STANDOFF_ELECTRICAL","Pufferfish:STANDOFF-ELECTRICAL-NOTHERMALS","","","","","","","",""
"H4","STANDOFF_ELECTRICAL","Pufferfish:STANDOFF_ELECTRICAL","Pufferfish:STANDOFF-ELECTRICAL-NOTHERMALS","","","","","","","",""
"H5","STANDOFF_ELECTRICAL","Pufferfish:STANDOFF_ELECTRICAL","Pufferfish:STANDOFF-ELECTRICAL-NOTHERMALS","","","","","","","",""
"H6","STANDOFF_ELECTRICAL","Pufferfish:STANDOFF_ELECTRICAL","Pufferfish:STANDOFF-ELECTRICAL-NOTHERMALS","","","","","","","",""
"IC1","TCA9548APWR","Pufferfish:TCA9548APWR","Pufferfish:SOP65P640X120-24N","TEXAS INSTRUMENTS - TCA9548APWR - I2C SWITCH W/ RESET, 8-CH, TSSOP-24","","","http://www.ti.com/lit/ds/symlink/tca9548a.pdf","","","",""
"IC2","TCA9548APWR","Pufferfish:TCA9548APWR","Pufferfish:SOP65P640X120-24N","TEXAS INSTRUMENTS - TCA9548APWR - I2C SWITCH W/ RESET, 8-CH, TSSOP-24","","","http://www.ti.com/lit/ds/symlink/tca9548a.pdf","","","",""
"IC3","LMP91000SDE","Pufferfish:LMP91000SDE","Pufferfish:SON50P400X400X80-15N","Texas Instruments,LMP91000SDE/NOPB,AFE LMP91000SDE/NOPB, Analogue Front End IC, 1-channel Serial-I2C, 14-Pin WSON","","","http://www.ti.com/lit/ds/symlink/lmp91000.pdf","","","",""
"IC4","W25Q16JVSSIQ","Pufferfish:W25Q16JVSSIQ","Pufferfish:SOIC127P790X216-8N","NOR Flash spiFlash, 3V, 16M-bit, 4Kb Uniform Sector","","","https://www.winbond.com/resource-files/w25q16jv%20spi%20revd%2008122016.pdf","","","",""
"J1","TERMINAL_SCREW_4_2.54mm","Pufferfish:TERMINAL_SCREW_4_2.54mm","Pufferfish:TERMINAL_PIN_4_2.54mm","Screw terminal, connector, 4x1 pin, 2.54mm","","","","","","",""
"J2","TERMINAL_SCREW_4_2.54mm","Pufferfish:TERMINAL_SCREW_4_2.54mm","Pufferfish:TERMINAL_PIN_4_2.54mm","Screw terminal, connector, 4x1 pin, 2.54mm","","","","","","",""
"J3","TERMINAL_SCREW_8_2.54mm","Pufferfish:TERMINAL_SCREW_8_2.54mm","Pufferfish:TERMINAL_PIN_8_2.54mm","Screw terminal, connector, 8x1 pin, 2.54mm","","","","","","",""
"J4","TERMINAL_SCREW_4_2.54mm","Pufferfish:TERMINAL_SCREW_4_2.54mm","Pufferfish:TERMINAL_PIN_4_2.54mm","Screw terminal, connector, 4x1 pin, 2.54mm","","","","","","",""
"L1","LOGO_PUFFERFISH","Pufferfish:LOGO_PUFFERFISH","Pufferfish:LOGO_PUFFERFISH","","","","","","","",""
"MOD1","NUCLEO-F429ZI","Pufferfish:NUCLEO-F429ZI","Pufferfish:MODULE_NUCLEO-F429ZI","STM32 Nucleo-144 development board with STM32F429ZIT6 MCU, supports Arduino, ST Zio and Morpho","","STMicroelectronics","https://www.st.com/en/evaluation-tools/nucleo-h743zi.html","","","",""
"PRESS1","ABPMAND001PG2A3","Pufferfish:ABPMAND001PG2A3","Pufferfish:ABPMANN030PG2A3","ABPMAND001PG2A3, Differential Pressure Sensor 1psi 6-Pin SMT","","","https://www.mouser.com/datasheet/2/187/honeywell-sensing-pressure-board-mount-abp-series--1846114.pdf","","","","0-1psi"
"PRESS2","ABPMAND001PG2A3","Pufferfish:ABPMAND001PG2A3","Pufferfish:ABPMANN030PG2A3","ABPMAND001PG2A3, Differential Pressure Sensor 1psi 6-Pin SMT","","","https://www.mouser.com/datasheet/2/187/honeywell-sensing-pressure-board-mount-abp-series--1846114.pdf","","","","0-1psi"
"PRESS3","ABPMAND001PG2A3","Pufferfish:ABPMAND001PG2A3","Pufferfish:ABPMANN030PG2A3","ABPMAND001PG2A3, Differential Pressure Sensor 1psi 6-Pin SMT","","","https://www.mouser.com/datasheet/2/187/honeywell-sensing-pressure-board-mount-abp-series--1846114.pdf","","","","0-1psi"
"PRESS4","HSCMRRN100MDSA3","Pufferfish:HSCMRRN100MDSA3","Pufferfish:PRESSURE_HSC_SOIC-8","Board Mount Pressure Sensors SMT, Dual Rad Barbed Differential, 3.3V","","Honeywell","https://www.mouser.com/datasheet/2/187/honeywell-sensing-trustability-hsc-series-high-acc-708740.pdf","","","","±100mbar"
